"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_006536",878.35320061557,6.08211977863253,0.289438793934476,21.0134919924018,4.93675490805488e-98,4.0841773354338e-94
"NM_053056",12438.22349225,2.96358273324512,0.14798153336796,20.0267064801667,3.2228015017367e-89,1.33311184119339e-85
"NM_000064",1831.76997889702,3.59632274573889,0.18342847738274,19.606130940262,1.37071055616013e-85,3.77996281037092e-82
"NM_000584",425.821544737673,4.38778716230214,0.243446073374654,18.0236514045125,1.27072870357359e-72,2.62818464116609e-69
"NM_199168",1685.59697278402,-3.11592123152317,0.173956572846413,-17.9120638015457,9.49488477150975e-72,1.571023634294e-68
"NM_002581",2534.1574052056,2.15035760155551,0.134671907938053,15.967380535996,2.15654184695398e-57,2.97351178330838e-54
"NM_003155",1979.34958757738,2.17627874420454,0.150088381419431,14.4999814350905,1.21182665854317e-47,1.43220599230395e-44
"NM_030915",1251.31198437285,-2.16236820506273,0.152230255343178,-14.2045889641848,8.58046281661734e-46,8.87327111023441e-43
"NM_000422",353.495606887631,3.83509635009824,0.270748289905645,14.1648035946404,1.51289304757397e-45,1.3906849091755e-42
"NM_032211",3554.5917746482,2.22138942195853,0.165015281500765,13.4617194344406,2.62730405840911e-41,2.17356864752185e-38
"NM_000379",264.928787158124,3.42387935710259,0.25783497586368,13.2793440673962,3.05054599228252e-40,2.29428790855939e-37
"NM_001432",306.44535569368,3.05257952553916,0.237065837836951,12.8765053345166,6.10373053475033e-38,4.20801355949913e-35
"NM_001067",663.01994314791,-2.6770341464447,0.212314108129745,-12.6088377735537,1.88756001726045e-36,1.20121415559967e-33
"NM_178229",274.329843193393,-3.2780341026257,0.272037603901806,-12.049930067054,1.94114551615633e-33,1.14707834679724e-30
"NM_002422",2788.93964247325,1.70124358957327,0.141410112014348,12.0305653205384,2.4547415733148e-33,1.35387180240222e-30
"NM_002993",182.804410840521,3.92621519512997,0.331263129265392,11.8522553470914,2.0947596864103e-32,1.08312168035452e-29
"NR_103711",555.355339609465,2.19198497249623,0.186410750386724,11.7588978529875,6.35585368436112e-32,2.98674703718422e-29
"NM_000362",17190.5395637247,1.51766355193864,0.129085683535269,11.7570245620924,6.49842217687852e-32,2.98674703718422e-29
"NM_018136",250.011786891975,-3.02211927239731,0.262390286427358,-11.5176491993883,1.07504023856918e-30,4.68095152299094e-28
"NM_005415",1118.16493451103,1.80529031224389,0.163921526550667,11.0131375069026,3.30297028207139e-28,1.36627365717883e-25
"NM_004864",530.836050588981,2.52936791822804,0.230943950535088,10.9523021164555,6.47799563487342e-28,2.55202180415752e-25
"NM_031935",693.649012428461,-1.84158993241061,0.169629530333054,-10.8565408911691,1.85648865374366e-27,6.98124119655514e-25
"NM_002982",1604.27834651964,1.90160004419857,0.17656399181223,10.7700331459478,4.7682950216756e-27,1.71513498757923e-24
"NM_003537",287.022704530676,-2.67165964915063,0.248489842779684,-10.7515849310564,5.82519515899691e-27,2.00799331459923e-24
"NM_003254",17311.4253860188,1.43284526264595,0.137507246102111,10.4201436888783,2.00649827649335e-25,6.63990409657179e-23
"NM_001759",164.184094427081,3.18031870557428,0.305734331852731,10.4022295641505,2.42198786064607e-25,7.7065790658173e-23
"NM_006623",1337.63043703266,-1.63895809893438,0.159504761945951,-10.2752925927675,9.1067682384942e-25,2.710866216696e-22
"NM_002276",2008.64105845764,1.45134272451203,0.141255763888441,10.274573472685,9.17493703221178e-25,2.710866216696e-22
"NM_031966",300.375128402628,-2.37053678828333,0.23191655640422,-10.2215073603956,1.58851253164674e-24,4.53164281872879e-22
"NM_020375",303.990770185733,2.19656176375254,0.21582683760399,10.1774264412052,2.50087950917162e-24,6.89659205979228e-22
"NM_006763",438.759942708104,2.07708700035926,0.207765256950786,9.99727784540642,1.56643771457062e-23,4.18036748794927e-21
"NM_005953",2204.62453385528,1.39736958227461,0.139996736055575,9.98144400823671,1.8377256906638e-23,4.75109519964425e-21
"NM_012112",404.243614516411,-2.19530373092257,0.221564112464264,-9.90820989241498,3.83454791432515e-23,9.6130954227915e-21
"NM_032947",830.319751511076,1.68521058559735,0.17027565457179,9.89695555618522,4.29139976585264e-23,1.04419853714408e-20
"NM_005322",224.130433664824,-2.76980077179002,0.280812317741207,-9.86353018296951,5.99053557007479e-23,1.41599145060653e-20
"NM_005746",772.892387616838,1.5994042903857,0.162496788202511,9.84268248054507,7.37185816318408e-23,1.69409396066727e-20
"NM_000636",1206.45157817519,1.57158419302634,0.159962034729974,9.82473244779156,8.81076784593206e-23,1.97004006457827e-20
"NM_022739",1556.34691701572,1.43029806160405,0.146709383090678,9.74919280193557,1.85940822506109e-22,4.04812743313958e-20
"NM_015444",232.320643381042,2.4434984328304,0.251012690860404,9.73456132618135,2.14742216616105e-22,4.55528809760265e-20
"NM_014568",2433.86829462205,1.50714728230342,0.155203951716725,9.71075327420934,2.71324440753458e-22,5.61166774588339e-20
"NM_002421",553.490174284489,2.08638732800328,0.216483218378413,9.6376400149238,5.54480390016509e-22,1.1188332357577e-19
"NM_080927",2591.68478386312,1.37584515276504,0.142983892519742,9.62237863663616,6.43261263222686e-22,1.26707153110507e-19
"NR_038390",881.417252551523,1.93650520916385,0.202112432870591,9.58132650060061,9.58064285727999e-22,1.8432711246111e-19
"NM_001255",140.654665749343,-3.30852526833695,0.348469739046612,-9.49444068626685,2.21396695915443e-21,4.16276105751922e-19
"NM_001999",8370.50252921187,-1.56564646330852,0.167082342584413,-9.37050821224586,7.21841127885188e-21,1.32706481133204e-18
"NM_172037",1832.80159569892,1.51833270128276,0.163126849392548,9.3076811508144,1.30653541128749e-20,2.34977553425682e-18
"NM_181724",1873.54309121838,-1.41711506991493,0.152594944295721,-9.28677602298957,1.59032428201612e-20,2.79930910321689e-18
"NM_003012",4788.2453263108,1.3778399060098,0.150678955604021,9.14420929244236,6.00676687102294e-20,1.0352912984161e-17
"NM_015529",3128.23221330775,1.26892605165438,0.140429795418161,9.03601723463223,1.62484081317095e-19,2.74332817293127e-17
"NM_014899",3091.25018954143,-1.26416372458742,0.140048254567167,-9.02662963201106,1.77040391707371e-19,2.92931032119016e-17
"NM_032777",3670.90999167905,-1.26961202309038,0.141468819069006,-8.97450075179527,2.84639695985734e-19,4.61730236252936e-17
"NM_001010000",257.508506709408,-2.20089944665166,0.246819810265924,-8.91702916504315,4.78963584968599e-19,7.62012642008696e-17
"NM_003531",173.542099755034,-2.44118600110046,0.273962655542198,-8.91065242548887,5.07331288784969e-19,7.91915424927934e-17
"NM_030806",424.604861597077,-1.84319369179924,0.208375075096658,-8.84555742064759,9.10725360139951e-19,1.3952649823033e-16
"NM_025239",484.494383024954,1.68759136572757,0.193495602205807,8.72160062807319,2.74296311751512e-18,4.12591524930957e-16
"NM_018370",3653.13741973794,1.14803050445445,0.131695568766545,8.71730548876359,2.84900680599095e-18,4.20889880463628e-16
"NM_003840",797.314983652153,1.48029936498763,0.170298467459117,8.6923821868391,3.54917801960436e-18,5.15128943090998e-16
"NM_021101",75.6122104814514,4.74510517247492,0.55123339017154,8.60815991389469,7.42426423030013e-18,1.05898168926333e-15
"NM_021018",192.431530704138,-2.38082055578902,0.281849669272151,-8.4471291448993,2.98553410496971e-17,4.18632604244312e-15
"NM_021064",313.005498573491,-1.88223216955161,0.22500736469035,-8.36520249966883,6.00117677491819e-17,8.27462257648302e-15
"NM_004523",227.453440231297,-2.05145765601332,0.246055890164341,-8.33736455015625,7.59645876799216e-17,1.03025415389507e-14
"NM_000689",3674.0706678703,-1.53034055796796,0.183949143369576,-8.31936767921402,8.84338207407442e-17,1.18002096610996e-14
"NM_006379",3165.107755331,1.10642273581597,0.133199803574369,8.30648924492013,9.85751591505102e-17,1.29446395500345e-14
"NM_003955",942.65918435051,-1.45936457276805,0.175847983274364,-8.29901228091484,1.04980518234319e-16,1.35703723023831e-14
"NM_001004439",576.855705096389,-1.70945929658651,0.20615134626841,-8.29225385877805,1.1112245142058e-16,1.41433237015762e-14
"NM_000891",224.279929024712,2.12611261192942,0.256479898980555,8.28958768457175,1.13641713537535e-16,1.41930846100637e-14
"NR_109779",1451.72547277364,-1.53288144284671,0.184946743423617,-8.28823159830217,1.14944599162851e-16,1.41930846100637e-14
"NM_004701",133.532181456929,-2.61272511509779,0.316142520026907,-8.26439010758634,1.40410740959078e-16,1.7082618528742e-14
"NM_001211",124.886940245065,-2.78161960382668,0.336897336958841,-8.25657937499966,1.49906550758254e-16,1.79735781800439e-14
"NM_006206",7191.38445679915,-1.04957323383547,0.128350940025284,-8.17737083677541,2.90104135534935e-16,3.4094525816052e-14
"NM_003483",596.376001060073,1.53047305951695,0.187183225215197,8.17633662288608,2.92603811548374e-16,3.4094525816052e-14
"NM_133468",418.184445280666,1.54177775136867,0.18966736479722,8.12885101776493,4.33378555917569e-16,4.97963999042507e-14
"NM_015210",880.100427768678,-1.26032443625397,0.155426893373953,-8.10879255767959,5.11252424042861e-16,5.79396069055697e-14
"NM_002758",98.0557150545866,-3.07400967650312,0.38067340875914,-8.07518887784492,6.73722776925313e-16,7.53203855878799e-14
"NM_005063",1949.74787140673,-1.16630925075146,0.144711861838474,-8.05952764296047,7.65898219586384e-16,8.44836796085087e-14
"NM_000147",326.988163221332,1.63052172426474,0.205165099803718,7.94736398064128,1.90522012624064e-15,2.07393238215643e-13
"NM_006461",154.378384691719,-2.26384573535246,0.286107499786145,-7.91257040463674,2.52128198138666e-15,2.70890465350803e-13
"NM_001237",203.889008523895,-1.92890281004509,0.245550556682786,-7.85542022833587,3.98434010928394e-15,4.22595458001359e-13
"NM_003534",128.183587936784,-2.65495542621399,0.340166958482595,-7.80485981959308,5.95677184470333e-15,6.23802195838363e-13
"NM_000602",6428.04336507034,1.23719967832584,0.159940377937282,7.73538048541433,1.03094308819771e-14,1.06612402108246e-12
"NM_020448",1557.05539234282,1.28721251657962,0.166459932943966,7.73286696572758,1.05151166611552e-14,1.07396987824366e-12
"NM_006101",102.568465806299,-2.66282856511449,0.344885388063386,-7.72090861856139,1.15503342030708e-14,1.1653160349025e-12
"NM_003059",296.115958342237,1.72045467620526,0.225524203344713,7.62869195718009,2.37147533215708e-14,2.36376089432958e-12
"NM_001996",617.542916353773,1.46539845913977,0.192373655065859,7.61745915072461,2.58717745092865e-14,2.54806179184914e-12
"NR_051984",76.9950356590457,-3.16129413796344,0.416559497282036,-7.58905788630489,3.22239790389974e-14,3.13634092458383e-12
"NM_030641",1014.22713303213,-1.17992240603381,0.155860099403434,-7.57039428660735,3.72093123410501e-14,3.5794493139245e-12
"NM_003536",192.573175482603,-1.98429484600731,0.264080082792326,-7.51398903327282,5.7352391159176e-14,5.45375094321682e-12
"NM_004120",235.851448397479,-1.74185031002173,0.232172494104093,-7.50239737374225,6.26610699890367e-14,5.89085263658296e-12
"NM_031476",907.557703031173,-1.21700988356647,0.162918039940398,-7.47007442522448,8.01494760737483e-14,7.45029905121483e-12
"NM_006933",1159.11639685398,1.4057733681422,0.188351727822817,7.46355440638491,8.42190782524471e-14,7.74160482647216e-12
"NM_002006",4251.48970796666,1.03519150718876,0.139506366919741,7.42038897611258,1.16776862363233e-13,1.0616428377264e-11
"NM_006273",57.4469951785992,4.20967790346378,0.569558176293795,7.39112891128491,1.45587382670586e-13,1.30917871394974e-11
"NM_000609",57.3017639601482,-3.94328204550093,0.535290088934428,-7.36662629668821,1.75000151270373e-13,1.55674865748365e-11
"NM_003979",779.417395774872,1.27037436256382,0.17253009168442,7.36320458744962,1.79546871778926e-13,1.58020347896495e-11
