,RefSeq_ID,ensembl_gene_id
1,NM_006536,ENSG00000137975
2,NM_053056,ENSG00000110092
3,NM_000064,ENSG00000125730
4,NM_000584,ENSG00000169429
5,NM_199168,ENSG00000107562
6,NM_002581,ENSG00000182752
7,NM_003155,ENSG00000159167
8,NM_030915,ENSG00000213626
9,NM_000422,ENSG00000128422
10,NM_032211,ENSG00000138131
11,NM_000379,ENSG00000158125
12,NM_001432,ENSG00000124882
13,NM_001067,ENSG00000131747
14,NM_178229,ENSG00000183856
15,NM_002422,ENSG00000149968
16,NM_002993,ENSG00000124875
17,NR_103711,ENSG00000256040
18,NM_000362,ENSG00000100234
19,NM_018136,ENSG00000066279
20,NM_005415,ENSG00000144136
21,NM_004864,ENSG00000130513
22,NM_031935,ENSG00000143341
23,NM_002982,ENSG00000108691
24,NM_003537,ENSG00000286522
25,NM_003254,ENSG00000102265
26,NM_001759,ENSG00000118971
27,NM_006623,ENSG00000092621
28,NM_002276,ENSG00000171345
29,NM_031966,ENSG00000134057
30,NM_020375,ENSG00000078237
31,NM_006763,ENSG00000159388
32,NM_005953,ENSG00000125148
33,NM_012112,ENSG00000088325
34,NM_032947,ENSG00000256235
35,NM_005322,ENSG00000184357
36,NM_005746,ENSG00000105835
37,NM_000636,ENSG00000112096
38,NM_022739,ENSG00000108854
39,NM_015444,ENSG00000249992
40,NM_014568,ENSG00000136542
41,NM_002421,ENSG00000196611
42,NM_080927,ENSG00000057019
43,NR_038390,ENSG00000255282
44,NM_001255,ENSG00000117399
45,NM_001999,ENSG00000138829
46,NM_172037,ENSG00000121039
47,NM_181724,ENSG00000183160
48,NM_003012,ENSG00000104332
49,NM_015529,ENSG00000079931
50,NM_014899,ENSG00000164292
51,NM_032777,ENSG00000020181
52,NM_001010000,ENSG00000088756
53,NM_003531,ENSG00000287080
54,NM_030806,ENSG00000116667
55,NM_025239,ENSG00000197646
56,NM_018370,ENSG00000136048
57,NM_003840,ENSG00000173530
58,NM_021101,ENSG00000163347
59,NM_021018,ENSG00000277775
60,NM_021064,ENSG00000196787
61,NM_004523,ENSG00000138160
62,NM_000689,ENSG00000165092
63,NM_006379,ENSG00000075223
64,NM_003955,ENSG00000184557
65,NM_001004439,ENSG00000137809
66,NM_000891,ENSG00000123700
67,NR_109779,None
68,NM_004701,ENSG00000157456
69,NM_001211,ENSG00000156970
70,NM_006206,ENSG00000134853
71,NM_003483,ENSG00000149948
72,NM_133468,ENSG00000164619
73,NM_015210,ENSG00000168502
74,NM_002758,ENSG00000108984
75,NM_005063,ENSG00000099194
76,NM_000147,ENSG00000179163
77,NM_006461,ENSG00000076382
78,NM_001237,ENSG00000145386
79,NM_003534,ENSG00000273983
80,NM_000602,ENSG00000106366
81,NM_020448,ENSG00000001461
82,NM_006101,ENSG00000080986
83,NM_003059,ENSG00000197208
84,NM_001996,ENSG00000077942
85,NR_051984,ENSG00000258725
86,NM_030641,ENSG00000221963
87,NM_003536,ENSG00000278828
88,NM_004120,ENSG00000162645
89,NM_031476,ENSG00000103196
90,NM_006933,ENSG00000198743
91,NM_002006,ENSG00000138685
92,NM_006273,ENSG00000108688
93,NM_000609,ENSG00000107562
94,NM_003979,ENSG00000013588
95,NM_002048,ENSG00000180447
96,NM_003527,ENSG00000274641
97,NM_173084,ENSG00000213186
98,NM_019058,ENSG00000168209
99,NM_021062,ENSG00000276410
100,NM_007350,ENSG00000139289
101,NM_005320,ENSG00000124575
102,NM_002867,ENSG00000169213
103,NM_054110,ENSG00000131386
104,NM_031479,ENSG00000139269
105,NM_014729,ENSG00000198846
106,NM_080593,ENSG00000197903
107,NM_153690,ENSG00000185112
108,NM_012310,ENSG00000090889
109,NR_131907,ENSG00000281376
110,NM_030919,ENSG00000101447
111,NM_130386,ENSG00000158270
112,NM_001406,ENSG00000108947
113,NM_003841,ENSG00000173535
114,NM_003525,ENSG00000278588
115,NM_004431,ENSG00000142627
116,NM_020130,ENSG00000176907
117,NM_001012761,ENSG00000174136
118,NM_003463,ENSG00000112245
119,NM_000557,ENSG00000125965
120,NM_021052,ENSG00000277075
121,NM_001080509,ENSG00000110900
122,NM_003539,ENSG00000277157
123,NM_139055,ENSG00000166106
124,NM_003530,ENSG00000197409
125,NM_022767,ENSG00000181026
126,NM_001031804,ENSG00000178573
127,NM_000640,ENSG00000123496
128,NM_003546,ENSG00000275126
129,NM_005092,ENSG00000120337
130,NM_199511,ENSG00000091986
131,NM_016240,ENSG00000168077
132,NM_000623,ENSG00000168398
133,NM_003524,ENSG00000275713
134,NM_005030,ENSG00000166851
135,NM_004760,ENSG00000164543
136,NM_152718,ENSG00000167992
137,NM_018440,ENSG00000076641
138,NM_024745,ENSG00000171241
139,NM_003509,ENSG00000196747
140,NM_003535,ENSG00000197153
141,NM_003521,ENSG00000273703
142,NM_001206602,ENSG00000128656
143,NM_004454,ENSG00000244405
144,NM_005733,ENSG00000112984
145,NM_016343,ENSG00000117724
146,NM_000270,ENSG00000198805
147,NM_173475,ENSG00000188215
148,NM_001086521,ENSG00000224877
149,NM_014932,ENSG00000169760
150,NM_145176,ENSG00000146411
151,NR_027337,None
152,NM_014331,ENSG00000151012
153,NM_002360,ENSG00000198517
154,NM_015559,ENSG00000152217
155,NM_016337,ENSG00000196405
156,NM_001165,ENSG00000023445
157,NM_020696,ENSG00000163807
158,NM_019886,ENSG00000147119
159,NM_003335,ENSG00000182179
160,NM_003522,ENSG00000277224
161,NM_004073,ENSG00000173846
162,NM_001080471,ENSG00000187800
163,NM_080596,ENSG00000274997
164,NM_203371,ENSG00000176971
165,NM_207499,ENSG00000244694
166,NM_001452,ENSG00000137273
167,NM_016399,ENSG00000170855
168,NR_026825,ENSG00000241749
169,NM_018304,ENSG00000068489
170,NM_173515,ENSG00000153721
171,NM_203394,ENSG00000165891
172,NM_004065,ENSG00000184258
173,NM_022842,ENSG00000163814
174,NM_020814,ENSG00000144583
175,NM_003533,ENSG00000275379
176,NR_028370,None
177,NM_001013732,ENSG00000244694
178,NM_000710,ENSG00000100739
179,NM_003540,ENSG00000274618
180,NM_004419,ENSG00000138166
181,NM_002705,ENSG00000118898
182,NM_052943,ENSG00000158246
183,NM_014344,ENSG00000179431
