"","RefSeq_ID"
"1","NM_006536"
"2","NM_053056"
"3","NM_000064"
"4","NM_000584"
"5","NM_199168"
"6","NM_002581"
"7","NM_003155"
"8","NM_030915"
"9","NM_000422"
"10","NM_032211"
"11","NM_000379"
"12","NM_001432"
"13","NM_001067"
"14","NM_178229"
"15","NM_002422"
"16","NM_002993"
"17","NR_103711"
"18","NM_000362"
"19","NM_018136"
"20","NM_005415"
"21","NM_004864"
"22","NM_031935"
"23","NM_002982"
"24","NM_003537"
"25","NM_003254"
"26","NM_001759"
"27","NM_006623"
"28","NM_002276"
"29","NM_031966"
"30","NM_020375"
"31","NM_006763"
"32","NM_005953"
"33","NM_012112"
"34","NM_032947"
"35","NM_005322"
"36","NM_005746"
"37","NM_000636"
"38","NM_022739"
"39","NM_015444"
"40","NM_014568"
"41","NM_002421"
"42","NM_080927"
"43","NR_038390"
"44","NM_001255"
"45","NM_001999"
"46","NM_172037"
"47","NM_181724"
"48","NM_003012"
"49","NM_015529"
"50","NM_014899"
"51","NM_032777"
"52","NM_001010000"
"53","NM_003531"
"54","NM_030806"
"55","NM_025239"
"56","NM_018370"
"57","NM_003840"
"58","NM_021101"
"59","NM_021018"
"60","NM_021064"
"61","NM_004523"
"62","NM_000689"
"63","NM_006379"
"64","NM_003955"
"65","NM_001004439"
"66","NM_000891"
"67","NR_109779"
"68","NM_004701"
"69","NM_001211"
"70","NM_006206"
"71","NM_003483"
"72","NM_133468"
"73","NM_015210"
"74","NM_002758"
"75","NM_005063"
"76","NM_000147"
"77","NM_006461"
"78","NM_001237"
"79","NM_003534"
"80","NM_000602"
"81","NM_020448"
"82","NM_006101"
"83","NM_003059"
"84","NM_001996"
"85","NR_051984"
"86","NM_030641"
"87","NM_003536"
"88","NM_004120"
"89","NM_031476"
"90","NM_006933"
"91","NM_002006"
"92","NM_006273"
"93","NM_000609"
"94","NM_003979"
"95","NM_002048"
"96","NM_003527"
"97","NM_173084"
"98","NM_019058"
"99","NM_021062"
"100","NM_007350"
"101","NM_005320"
"102","NM_002867"
"103","NM_054110"
"104","NM_031479"
"105","NM_014729"
"106","NM_080593"
"107","NM_153690"
"108","NM_012310"
"109","NR_131907"
"110","NM_030919"
"111","NM_130386"
"112","NM_001406"
"113","NM_003841"
"114","NM_003525"
"115","NM_004431"
"116","NM_020130"
"117","NM_001012761"
"118","NM_003463"
"119","NM_000557"
"120","NM_021052"
