"","gene_id","control1","control2","treat1","treat2"
"6","NM_000014",841,1792,548,364
"7","NM_000015",0,1,1,1
"8","NM_000016",0,0,0,0
"9","NM_000017",6,11,2,3
"10","NM_000018",0,0,0,0
"11","NM_000019",626,583,576,489
"12","NM_000020",12,11,18,16
"13","NM_000021",0,0,0,0
"14","NM_000022",73,67,67,76
"15","NM_000023",0,0,0,1
"16","NM_000024",6,8,33,18
"17","NM_000025",0,0,0,0
"18","NM_000026",0,0,0,0
"19","NM_000027",1,1,0,1
"20","NM_000028",1,0,0,0
"21","NM_000029",7,14,9,5
"22","NM_000030",0,1,1,1
"23","NM_000031",0,0,0,0
"24","NM_000032",0,0,0,0
"25","NM_000033",148,112,139,117
"26","NM_000034",19,17,24,14
"27","NM_000035",0,2,1,1
"28","NM_000036",0,0,0,0
"29","NM_000037",0,0,0,0
"30","NM_000038",0,0,0,0
"31","NM_000039",0,0,0,0
"32","NM_000040",0,0,0,1
"33","NM_000041",0,0,0,0
"34","NM_000042",0,0,1,1
"35","NM_000043",0,0,0,0
"36","NM_000044",119,121,86,98
"37","NM_000045",0,0,0,0
"38","NM_000046",229,238,286,229
"39","NM_000047",0,0,0,0
"40","NM_000048",0,0,0,0
"41","NM_000049",1,0,0,0
"42","NM_000050",3,7,1,3
"43","NM_000051",1837,1735,2181,1983
"44","NM_000052",12,8,13,5
"45","NM_000053",0,0,0,0
"46","NM_000054",0,0,0,0
"47","NM_000055",0,0,0,0
"48","NM_000056",0,0,0,0
"49","NM_000057",0,0,0,0
"50","NM_000059",143,123,71,87
"51","NM_000060",0,0,0,0
"52","NM_000061",0,0,0,0
"53","NM_000062",0,2,2,0
"54","NM_000063",0,0,0,0
"55","NM_000064",287,281,4227,2626
"56","NM_000065",0,0,0,0
"57","NM_000066",0,0,0,0
"58","NM_000067",0,0,1,0
"59","NM_000068",0,0,0,0
"60","NM_000069",0,0,2,3
"61","NM_000070",0,0,0,0
"62","NM_000071",0,1,0,0
"63","NM_000072",0,0,0,0
"64","NM_000073",0,0,0,0
"65","NM_000074",0,0,0,0
"66","NM_000075",929,971,909,751
"67","NM_000076",0,0,0,0
"68","NM_000077",0,0,0,0
"69","NM_000078",0,0,0,0
"70","NM_000079",0,0,0,0
"71","NM_000080",49,51,56,37
"72","NM_000081",1,0,3,2
"73","NM_000082",0,0,0,0
"74","NM_000083",0,0,0,0
"75","NM_000084",0,0,0,0
"76","NM_000085",0,1,0,0
"77","NM_000086",0,0,0,0
"78","NM_000087",0,0,0,0
"79","NM_000088",31251,23523,23008,33806
"80","NM_000089",110683,93578,99304,100439
"81","NM_000090",52002,48962,45948,39444
"82","NM_000091",7,6,9,9
"83","NM_000092",26,39,28,35
"84","NM_000093",9,9,9,7
"85","NM_000094",2159,1456,2434,1982
"86","NM_000095",76,58,111,101
"87","NM_000096",45,50,31,31
"88","NM_000097",194,192,227,181
